size_key,width_mm,aspect_ratio,rim_diameter_in,approved_rim_width_in,rim_contour,series,source_page
325_30_R19,325,30,19,12,J,30,P.41
325_30_R20,325,30,20,11,J,30,P.41
325_30_R20,325,30,20,11.5,J,30,P.41
325_30_R20,325,30,20,12,J,30,P.41
325_30_R21,325,30,21,11,J,30,P.41
325_30_R21,325,30,21,11.5,J,30,P.41
325_30_R21,325,30,21,12,J,30,P.41
325_30_R22,325,30,22,11,J,30,P.41
325_30_R22,325,30,22,11.5,J,30,P.41
325_30_R22,325,30,22,12,J,30,P.41
325_30_R23,325,30,23,11,J,30,P.41
325_30_R23,325,30,23,11.5,J,30,P.41
325_30_R23,325,30,23,12,J,30,P.41
335_30_R18,335,30,18,11.5,J,30,P.41
335_30_R18,335,30,18,12,J,30,P.41
335_30_R18,335,30,18,12.5,J,30,P.41
335_30_R19,335,30,19,11.5,J,30,P.41
335_30_R19,335,30,19,12,J,30,P.41
335_30_R19,335,30,19,12.5,J,30,P.41
335_30_R20,335,30,20,11.5,J,30,P.41
335_30_R20,335,30,20,12,J,30,P.41
335_30_R20,335,30,20,12.5,J,30,P.41
335_30_R21,335,30,21,11.5,J,30,P.41
335_30_R21,335,30,21,12,J,30,P.41
335_30_R21,335,30,21,12.5,J,30,P.41
335_30_R23,335,30,23,11.5,J,30,P.41
335_30_R23,335,30,23,12,J,30,P.41
335_30_R23,335,30,23,12.5,J,30,P.41
335_30_R24,335,30,24,11.5,J,30,P.41
335_30_R24,335,30,24,12,J,30,P.41
335_30_R24,335,30,24,12.5,J,30,P.41
345_30_R19,345,30,19,11.5,J,30,P.41
345_30_R19,345,30,19,12,J,30,P.41
345_30_R19,345,30,19,12.5,J,30,P.41
345_30_R20,345,30,20,11.5,J,30,P.41
345_30_R20,345,30,20,12,J,30,P.41
345_30_R20,345,30,20,12.5,J,30,P.41
345_30_R21,345,30,21,11.5,J,30,P.41
345_30_R21,345,30,21,12,J,30,P.41
345_30_R21,345,30,21,12.5,J,30,P.41
355_30_R19,355,30,19,12,J,30,P.41
355_30_R19,355,30,19,12.5,J,30,P.41
355_30_R19,355,30,19,13,J,30,P.41
355_30_R21,355,30,21,12,J,30,P.41
355_30_R21,355,30,21,12.5,J,30,P.41
355_30_R21,355,30,21,13,J,30,P.41
365_30_R21,365,30,21,12.5,J,30,P.41
365_30_R21,365,30,21,13,J,30,P.41
365_30_R21,365,30,21,13.5,J,30,P.41
205_35_R18,205,35,18,7.5,J,35,P.39
215_35_R16,215,35,16,7,J,35,P.39
215_35_R16,215,35,16,7.5,J,35,P.39
215_35_R16,215,35,16,8,J,35,P.39
215_35_R16,215,35,16,8.5,J,35,P.39
215_35_R17,215,35,17,7,J,35,P.39
215_35_R17,215,35,17,7.5,J,35,P.39
215_35_R17,215,35,17,8,J,35,P.39
215_35_R17,215,35,17,8.5,J,35,P.39
215_35_R18,215,35,18,7,J,35,P.39
215_35_R18,215,35,18,7.5,J,35,P.39
215_35_R18,215,35,18,8,J,35,P.39
215_35_R18,215,35,18,8.5,J,35,P.39
215_35_R19,215,35,19,7,J,35,P.39
215_35_R19,215,35,19,7.5,J,35,P.39
215_35_R19,215,35,19,8,J,35,P.39
215_35_R19,215,35,19,8.5,J,35,P.39
225_35_R17,225,35,17,7.5,J,35,P.39
225_35_R17,225,35,17,8,J,35,P.39
225_35_R17,225,35,17,8.5,J,35,P.39
225_35_R17,225,35,17,9,J,35,P.39
225_35_R18,225,35,18,7.5,J,35,P.39
225_35_R18,225,35,18,8,J,35,P.39
225_35_R18,225,35,18,8.5,J,35,P.39
225_35_R18,225,35,18,9,J,35,P.39
225_35_R19,225,35,19,7.5,J,35,P.39
225_35_R19,225,35,19,8,J,35,P.39
225_35_R19,225,35,19,8.5,J,35,P.39
225_35_R19,225,35,19,9,J,35,P.39
225_35_R20,225,35,20,7.5,J,35,P.39
225_35_R20,225,35,20,8,J,35,P.39
225_35_R20,225,35,20,8.5,J,35,P.39
225_35_R20,225,35,20,9,J,35,P.39
235_35_R15,235,35,15,8,J,35,P.39
